# accomplishments 채널에서 추린 인증 스크린샷 123건 (2026-08-29 수집)
# 형식: 날짜 / 설명 / Discord CDN 원본 URL
# 주의: Discord CDN 링크는 만료될 수 있다. 실제 사용 컷은 images/discord/archive/ 로 내려받을 것.
# base = https://cdn.discordapp.com/attachments/441859770849165322/
2026-03-19	solo hucast 42분에 bringer 136마리	1484323283959681054/01DD752C-6B72-4719-8137-E5FA39FCE162.png
2026-03-26	12판에 PAP 3개	1486606952459927683/image.png
2026-04-02	Forbidden Grimoire 제작	1489259930618695690/image.png
2026-04-03	Nei's Claw — DTMR Happy Hour 15회	1489733579880529970/pso1775249753.png
2026-04-08	9분 24초 기록 / 4판에 PAP 4개	1491295376110649444/image.png
2026-04-11	Ignis Engine 제작	1492508916700024963/image.png
2026-04-19	Prophet 2인 sub-53분 (조건 이의제기)	1495551473528868934/2_PERSON_SUB_53_MINUTES_pHOPHET.jpg
2026-04-24	MP3 기록 15:07	1497091554488221716/E591EB28-6683-41AA-85A1-9FBAFBAFC608.png
2026-04-26	Izmaela 3시간 사냥 (Astral Saber용)	1498081762604220446/image.png
2026-04-27	MP3 4인 기록 14:36	1498153680493613177/image.png
2026-05-01	첫 무사망 Seabed + sub-20	1499718398676959354/image.png
2026-05-02	40 hit SJS	1500130746080170125/SJS_2.jpg
2026-05-03	sub-17 + 첫 무사망	1500577109188411392/image.png
2026-05-24	8-3 113판째 목표 드랍	1508207940564418560/image.png
2026-05-26	매그 셀 컬렉션 완성	1508902026619387904/image.png
2026-05-30	★ Astral Saber 서버 최초 제작	1510127348329091092/image.png
2026-06-05	BTM Extreme 2인 기록	1512523950352105685/PHANTASY_STAR_ONLINE_Blue_Burst_05_06_2026_20_26_42.png
2026-06-30	PW3 Extreme 솔로	1521645126370197514/image.png
2026-07-01	Ignis 제작 (다인 협력)	1522006759374454947/image.png
2026-07-08	Yasminkov 9000M 스페셜 추가 (50 PD)	1524206455584985320/image.png
2026-07-17	FOmar 솔로 RT 기록	1527755869763272804/3FA7C1F5-317F-469E-83AC-5E09A4790768.png
2026-07-23	100 hit DF + 100 hit Arms	1529968919421390969/100_hit_arms.jpg
2026-08-06	Astral Saber 제작	1534916462840381531/image.png
2026-08-09	Beyond the Nightmare — Primal Photon Sphere	1535882211281346650/image.png
2026-08-13	크레이트 600개 / 100 hit Excalibur	1537318527659147304/600_crates_100hit_excal.jpg
2026-08-17	The Ravenous 역할 획득	1538772318220984411/20260816_234954.jpg
2026-08-29	PAP 그룹 누적 25판	1543128707361935411/image.png
